bikesgray.jpg	cossim	eucdist	mandist	minkdist	csqdist	jacsim	histintr	crocor	CVcsqdist
ukbench00000.jpg	0.222954	1925.22	23890	496.938	23608.5	0.0501372	0.894961	0.153774	1.1154
ukbench00001.jpg	0.145824	2056.73	26842	500.625	26524.6	0.0371619	0.735273	-0.00918527	1.26516
ukbench00002.jpg	0.136712	1855.16	23366	478.268	25096.5	0.0360959	0.621008	-0.0155711	1.36564
ukbench00003.jpg	0.111806	1913.47	24607	488.245	25365	0.0335035	0.605394	-0.0537042	1.1477
ukbench00004.jpg	0.19832	1522.05	16320	432.879	16465	0.0648636	0.803407	0.129896	1.82573
ukbench00005.jpg	0.212731	1647.36	17506	463.629	25448.3	0.0600805	0.79418	0.13624	1.33175
ukbench00006.jpg	0.181232	1511.64	14378	449.398	16322.8	0.0457924	0.489709	0.0605065	2.05802
ukbench00007.jpg	0.247008	1674.82	18760	464.207	18507.7	0.0598376	0.847409	0.169411	1.51002
ukbench00008.jpg	0.173146	1981.41	25538	496.505	27144.8	0.0403217	0.761533	0.0514678	1.09286
ukbench00009.jpg	0.130706	1827.35	22419	478.097	23735.1	0.0366949	0.606104	-0.0134966	1.29611
ukbench00010.jpg	0.136752	1948.61	23974	500.813	24772	0.0390027	0.690561	0.0168901	1.36315
ukbench00011.jpg	0.212065	1972.17	25135	496.752	25575.4	0.0445872	0.832505	0.116676	1.26502
ukbench00012.jpg	0.205088	1950.58	24223	490.505	23894.2	0.0501157	0.907026	0.125357	0.780624
ukbench00013.jpg	0.272992	1713.22	20071	453.909	22306.2	0.0563261	0.850248	0.180532	1.00377
ukbench00014.jpg	0.22963	1721.52	19898	462.262	20578.3	0.0549064	0.82044	0.155211	0.89499
ukbench00015.jpg	0.0997949	1826.68	21598	482.878	25222.6	0.0374365	0.596168	-0.0320687	1.22307
ukbench00016.jpg	0.252445	1611.93	17619	449.943	17613.4	0.063168	0.843151	0.187722	1.35986
ukbench00017.jpg	0.245571	1599.82	17557	445.678	28873.3	0.0571398	0.755145	0.134914	0.599228
ukbench00018.jpg	0.15784	1592.34	16571	462.443	24498.6	0.0411411	0.504613	0.0175628	2.29539
ukbench00019.jpg	0.23952	1782.78	20775	478.171	20506.2	0.058421	0.914833	0.142936	1.63275
ukbench00020.jpg	0.144824	1666.63	19517	449.021	25247.3	0.04525	0.656494	0.0305264	1.29701
ukbench00021.jpg	0.13204	1877.45	22548	486.857	22716.2	0.0380546	0.633073	0.00146629	1.40804
ukbench00022.jpg	0.192687	1744.84	19267	478.479	19275.5	0.0546588	0.790632	0.0908153	2.77043
ukbench00023.jpg	0.124135	1856.05	21815	486.302	22586.2	0.0385209	0.620298	-0.023384	1.57848
ukbench00024.jpg	0.234785	1540.27	15598	446.021	18918.3	0.0641949	0.759404	0.14976	1.12817
ukbench00088.jpg	0.150133	1463.62	14253	435.559	14053.6	0.0547782	0.586231	0.0682606	3.86504
